identity	ext	track	path	npages	ink_sum	ink_per_page	ink_max_page	max_page_no	major_pages	note	max_page_hint	prior_mentions	prior_rounds
Session-1-Presentation-Reporting-Forms-Form-12-final__pptx	pptx	slides	slides/done-011/pptx/Session-1-Presentation-Reporting-Forms-Form-12-final.pptx	15	1.30	0.0867	0.25	2	2	ok	top-centre: a fill or background shading we draw and the reference does not (0.89% of page, x 0.41-0.43, y 0.05-0.50)	3	odp-embed-r79;slides-metrics-01
ans_mappings_of_eccairs_terms__xlsx	xlsx	sheets	sheets/metrics-001/xlsx/ans_mappings_of_eccairs_terms.xlsx	191	1.30	0.0068	0.11	21	0	ok		56	L6-sheets;dotnet;gate-r111;odf-rowpitch-r72;ods-page-r77;ods-resid-r80
ws_prod-g-doc-Events-2008-February-5-NATO-activities__ppt	ppt	slides	slides/done-013/ppt/ws_prod-g-doc-Events-2008-February-5-NATO-activities.ppt	13	1.30	0.1000	0.55	7	2	ok	middle-right: marks displaced or reshaped (11.89% of page, x 0.60-0.92, y 0.41-0.87)	2	dotnet
361400CSLegislation1RF01PUBLIC1__doc	doc	words	words/done-010/doc/361400CSLegislation1RF01PUBLIC1.doc	35	1.27	0.0363	0.44	33	1	ok	bottom-centre: marks displaced or reshaped (4.87% of page, x 0.14-0.86, y 0.82-0.90)	1	rtf-page-r77
EASA-IFP-147Scope_WEB__ALL_Valid147SoA_2024-11-28-11-16-31__xlsx	xlsx	sheets	sheets/done-016/xlsx/EASA-IFP-147Scope_WEB__ALL_Valid147SoA_2024-11-28-11-16-31.xlsx	92	1.27	0.0138	0.04	65	0	ok		0	
015_Project_Timeline_Template_Colored_Background_6434b0e8__docx	docx	words	words/chartset-011/docx/015_Project_Timeline_Template_Colored_Background_6434b0e8.docx	2	1.23	0.6150	1.23	1	1	ok	bottom-right: a fill or background shading the reference has and we do not (1.46% of page, x 0.79-0.99, y 0.91-0.98)	3	chart-label-anchor;words-r62
026_6-Part_Hexagon_Radial_Diagram_b8ca3f40__pptx	pptx	slides	slides/chartset-011/pptx/026_6-Part_Hexagon_Radial_Diagram_b8ca3f40.pptx	3	1.22	0.4067	0.62	1	2	ok	top-centre: marks displaced or reshaped (5.80% of page, x 0.07-0.94, y 0.03-0.11)	0	
PA_Delaware__xls	xls	sheets	sheets/done-015/xls/PA_Delaware.xls	122	1.20	0.0098	0.01	1	0	ok		3	odf-rowpitch-r72;ods-band-r75
airbus-pdf-information-package_v1-4__docx	docx	words	words/done-015/docx/airbus-pdf-information-package_v1-4.docx	9	1.18	0.1311	0.40	9	0	ok		20	emptypage-01;lineheight-01;refdev-01;slides-ink-r94;words-e1-01;words-extra-01
iep-amount-frequency-for-webinar__ppt	ppt	slides	slides/done-009/ppt/iep-amount-frequency-for-webinar.ppt	39	1.17	0.0300	0.19	2	0	ok		9	L5-slides;ppt-autofit-r84;slide-table-r113;slides-paint-01;slides-r103;slides-r53
BHCA Part II webinar #2 - 10.2020__pptx	pptx	slides	slides/done-007/pptx/BHCA Part II webinar #2 - 10.2020.pptx	21	1.16	0.0552	0.91	5	0	ok		3	pptx-field-r82;slides-r52;vision-r68
REDAC HF briefing Sep 2016_LARD_ATC_TO_FE_v2__pptx	pptx	slides	slides/done-006/pptx/REDAC HF briefing Sep 2016_LARD_ATC_TO_FE_v2.pptx	18	1.16	0.0644	0.21	16	0	ok		2	slides-r51
Stakeholders-v08052017 - v5__pptx	pptx	slides	slides/done-006/pptx/Stakeholders-v08052017 - v5.pptx	13	1.13	0.0869	0.21	12	0	ok		7	slides-paint-01;slides-r50;slides-sym-01;user-review-slides-02
072_Gantt_project_planner_dde00e33__xlsx	xlsx	sheets	sheets/chartset-010/xlsx/072_Gantt_project_planner_dde00e33.xlsx	1	1.11	1.1100	1.11	1	0	ok		0	
xx_SETIS_PWS_template_10.19.22__docx	docx	words	words/missing-001/docx/xx_SETIS_PWS_template_10.19.22.docx	15	1.11	0.0740	0.40	9	0	ok		12	dotnet;lineheight-01;words-metrics-01;words-missing-01;words-r58
B11. TE.CAO.00129  Experience  logbook__docx	docx	words	words/table-001/docx/B11. TE.CAO.00129  Experience  logbook.docx	6	1.10	0.1833	0.50	6	0	ok		9	dotnet;words-r42;words-r43;words-table-01
027_6-Point_Dual_Hub_Comparison_13f9af30__pptx	pptx	slides	slides/chartset-010/pptx/027_6-Point_Dual_Hub_Comparison_13f9af30.pptx	3	1.09	0.3633	0.56	1	2	ok	top-centre: marks displaced or reshaped (5.55% of page, x 0.07-0.91, y 0.03-0.11)	0	
028_8-Point_Dual_Hub_Comparison_d6c5dde5__pptx	pptx	slides	slides/chartset-010/pptx/028_8-Point_Dual_Hub_Comparison_d6c5dde5.pptx	3	1.09	0.3633	0.55	1	0	ok		0	
EU_145s_with_TCCA_approval_-_31.01.2025__xlsx	xlsx	sheets	sheets/done-004/xlsx/EU_145s_with_TCCA_approval_-_31.01.2025.xlsx	14	1.09	0.0779	0.20	9	0	ok		0	
049_Visual_Product_Roadmap_Template_Simple_Format_4af26e4f__docx	docx	words	words/chartset-007/docx/049_Visual_Product_Roadmap_Template_Simple_Format_4af26e4f.docx	1	1.08	1.0800	1.08	1	1	ok	top-centre: ink we draw that the reference does not (1.06% of page, x 0.39-0.61, y 0.10-0.16)	0	
FO.FCTOA.00010 Application for a Part-ORA ATO Approval__docx	docx	words	words/pagination-001/docx/FO.FCTOA.00010 Application for a Part-ORA ATO Approval.docx	16	1.06	0.0663	0.38	8	0	ok		5	dotnet;words-missing-01;words-pagination-01
draft-variation-notice-airbus-bm3965ia-v006-vs-comments__docx	docx	words	words/done-008/docx/draft-variation-notice-airbus-bm3965ia-v006-vs-comments.docx	9	1.06	0.1178	0.85	3	0	ok		0	
077_Storyboard_Template_Pink_and_Blue_Theme_805e82ab__docx	docx	words	words/chartset-009/docx/077_Storyboard_Template_Pink_and_Blue_Theme_805e82ab.docx	1	1.05	1.0500	1.05	1	0	ok		0	
ODs-February-2022-Airbus-Commercial-Aircraft__xlsx	xlsx	sheets	sheets/pagination-001/xlsx/ODs-February-2022-Airbus-Commercial-Aircraft.xlsx	175	1.03	0.0059	0.14	76	3	ok		18	dotnet;gate-01;sheet-last-r100;sheets-e-01;sheets-pagination-01;sheets-r35
035_Project_plan_for_law_firms_aa2d4462__xlsx	xlsx	sheets	sheets/chartset-013/xlsx/035_Project_plan_for_law_firms_aa2d4462.xlsx	4	1.02	0.2550	0.67	3	0	ok		0	
2ca950374241722b8ea7c132dfce63ae__doc	doc	words	words/done-004/doc/2ca950374241722b8ea7c132dfce63ae.doc	3	1.02	0.3400	0.40	2	0	ok		0	
429_BLISc 2019 IInd Sem.  PAPER-7 UNIT 3__pptx	pptx	slides	slides/done-012/pptx/429_BLISc 2019 IInd Sem.  PAPER-7 UNIT 3.pptx	20	1.01	0.0505	0.55	6	0	ok		0	
wopanets-innovationdays-06-16__pptx	pptx	slides	slides/done-006/pptx/wopanets-innovationdays-06-16.pptx	15	1.01	0.0673	0.33	11	0	ok		1	slides-subpath-paint
Session 21- The option to expand & abandon__pptx	pptx	slides	slides/done-004/pptx/Session 21- The option to expand & abandon.pptx	12	1.00	0.0833	0.27	7	0	ok		0	
076_Inventory_list_accessibility_guide_Use_this_template_f43dab19__xlsx	xlsx	sheets	sheets/chartset-014/xlsx/076_Inventory_list_accessibility_guide_Use_this_template_f43dab19.xlsx	9	0.99	0.1100	0.24	6	0	ok		0	
SIL_TDB609__xls	xls	sheets	sheets/done-012/xls/SIL_TDB609.xls	50	0.99	0.0198	0.44	6	1	ok		15	biff-reader-r98;clip-seats-r97;dotnet;ods-page-r77;ods-resid-r80;probes
WordArt_Shapes_Arrows_Catalog1__docx	docx	words	words/drawingset-001/docx/WordArt_Shapes_Arrows_Catalog1.docx	52	0.99	0.0190	0.15	45	0	ok		13	frame-area-r85;odt-page-r87;odt-resid-r77;words-catalogue-bias;words-empty-paragraph-height;words-fontwork
ws_prod-g-doc-Events-industrymeeting18112004-Aercap__ppt	ppt	slides	slides/done-005/ppt/ws_prod-g-doc-Events-industrymeeting18112004-Aercap.ppt	12	0.99	0.0825	0.18	12	0	ok		0	
060_Four-Part_Radial_Core_Diagram_40d6614e__pptx	pptx	slides	slides/chartset-011/pptx/060_Four-Part_Radial_Core_Diagram_40d6614e.pptx	3	0.98	0.3267	0.50	1	2	ok	top-centre: marks displaced or reshaped (5.67% of page, x 0.07-0.93, y 0.03-0.11)	0	
ECSS-E-ST-50-16C-Annex-A(30September2021)__docx	docx	words	words/done-008/docx/ECSS-E-ST-50-16C-Annex-A(30September2021).docx	4	0.98	0.2450	0.40	3	1	ok	top-centre: ink missing from ours — a graphic, glyphs or a fill (1.02% of page, x 0.18-0.60, y 0.08-0.11)	0	
048_Five-Arrows_Converging_Cycle_bb192e27__pptx	pptx	slides	slides/chartset-010/pptx/048_Five-Arrows_Converging_Cycle_bb192e27.pptx	3	0.96	0.3200	0.49	1	0	ok		0	
c_291533__pptx	pptx	slides	slides/done-005/pptx/c_291533.pptx	19	0.96	0.0505	0.26	11	0	ok		0	
item_3-environmental_process_briefing__pptx	pptx	slides	slides/done-008/pptx/item_3-environmental_process_briefing.pptx	12	0.96	0.0800	0.77	6	0	ok		1	sheets-r37
solog_orientation_august_2019__pptx	pptx	slides	slides/ceiling-001/pptx/solog_orientation_august_2019.pptx	15	0.96	0.0640	0.31	5	0	ok		21	dotnet;font-class-01;pptx-field-r82;slides-arch-01;slides-b008-01;slides-paint-01
John_Broggio__RSS_Campion_event_John_Broggio__pptx	pptx	slides	slides/done-010/pptx/John_Broggio__RSS_Campion_event_John_Broggio.pptx	25	0.95	0.0380	0.32	18	0	ok		1	words-r53
Presentation - Identify Components of the Airport (1)__pptx	pptx	slides	slides/done-014/pptx/Presentation - Identify Components of the Airport (1).pptx	12	0.95	0.0792	0.30	12	0	ok		2	dotnet;slides-b-01
ws_prod-g-doc-Events-2007-september-MDM.032-(ENGLISH)-CZ__ppt	ppt	slides	slides/done-003/ppt/ws_prod-g-doc-Events-2007-september-MDM.032-(ENGLISH)-CZ.ppt	38	0.95	0.0250	0.15	19	0	ok		0	
135__doc	doc	words	words/done-011/doc/135.doc	14	0.94	0.0671	0.20	7	0	ok		215	L1-text-metrics;L2-docx-layout;L5-slides;L6-sheets;L8-drawing;caption-keepnext-table
010605Vul__ppt	ppt	slides	slides/done-003/ppt/010605Vul.ppt	21	0.92	0.0438	0.29	9	0	ok		39	dotnet;ppt-spacing-r115;slides-arch-01;slides-bullet2-r112;slides-r39;slides-r52
1603642410-MoM-CASCOM-06-2020-draft04__docx	docx	words	words/done-014/docx/1603642410-MoM-CASCOM-06-2020-draft04.docx	9	0.92	0.1022	0.34	3	0	ok		6	dotnet;frame-area-r85;words-close-r95;words-justify-shrink;words-r47
0335fab9-79f0-4944-b92c-f223837ca2d8__ppt	ppt	slides	slides/done-004/ppt/0335fab9-79f0-4944-b92c-f223837ca2d8.ppt	12	0.91	0.0758	0.24	3	0	ok		6	odp-embed-r79;odp-visual-r80;slides-r103;slides-r53;slides-r97
JEMIT_Template__docx	docx	words	words/done-015/docx/JEMIT_Template.docx	4	0.91	0.2275	0.35	3	1	ok	bottom-left: a fill or background shading the reference has and we do not (0.46% of page, x 0.17-0.40, y 0.67-0.70)	21	dotnet;lineheight-01;odt-page-r87;odt-sectable-r92;odt-startx-r88;rtf-page-r77
[Christophe]NLP_reseau_inge_stat__pptx	pptx	slides	slides/done-009/pptx/[Christophe]NLP_reseau_inge_stat.pptx	17	0.91	0.0535	0.72	11	1	ok	middle-right: a fill or background shading the reference has and we do not (0.79% of page, x 0.94-0.96, y 0.19-0.76)	1	dotnet
exhibit-06---technical-architecture-template__docx	docx	words	words/done-014/docx/exhibit-06---technical-architecture-template.docx	8	0.91	0.1138	0.79	4	0	ok		2	slides-extra-01;words-fontwork
015_Free_Gantt_Chart_Template_for_Excel_414e86bf__xlsx	xlsx	sheets	sheets/chartset-009/xlsx/015_Free_Gantt_Chart_Template_for_Excel_414e86bf.xlsx	8	0.90	0.1125	0.84	1	1	ok	top-centre: ink missing from ours — a graphic, glyphs or a fill (0.92% of page, x 0.40-0.58, y 0.26-0.38)	0	
FO.FCTOA_.000129 Application for activities related to FSTD__docx	docx	words	words/done-012/docx/FO.FCTOA_.000129 Application for activities related to FSTD.docx	6	0.90	0.1500	0.58	6	0	ok		0	
ev122_jj-liew-tort-of-bribery-webinar__pptx	pptx	slides	slides/done-003/pptx/ev122_jj-liew-tort-of-bribery-webinar.pptx	24	0.90	0.0375	0.34	22	0	ok		2	odp-master-r70;slides-r52
social-media-app-bulletin-january__pptx	pptx	slides	slides/done-006/pptx/social-media-app-bulletin-january.pptx	4	0.90	0.2250	0.27	3	0	ok		7	dotnet;slides-r50;slides-r51
AWR OPS-AOC 044 Statement of Compliance RVSM  Rev 04 01 Feb 2024__docx	docx	words	words/metrics-001/docx/AWR OPS-AOC 044 Statement of Compliance RVSM  Rev 04 01 Feb 2024.docx	15	0.89	0.0593	0.22	6	0	ok		1	words-character-scale
DynamicBubbleChart__xlsx	xlsx	sheets	sheets/chartset-004/xlsx/DynamicBubbleChart.xlsx	5	0.89	0.1780	0.47	2	1	ok	top-left: a fill or background shading the reference has and we do not (0.39% of page, x 0.03-0.09, y 0.22-0.30)	66	chart-label-anchor;chart-resid-r75;chart-resid-r99;chart-rest-r104;clip-seats-r97;dotnet
SIL_TDB605__xls	xls	sheets	sheets/done-011/xls/SIL_TDB605.xls	44	0.89	0.0202	0.44	6	1	ok		17	biff-reader-r98;clip-seats-r97;dotnet;ods-page-r77;ods-resid-r80;ods-track-r88
Item 6b - UNSD - Dissemination through APIs__pptx	pptx	slides	slides/done-004/pptx/Item 6b - UNSD - Dissemination through APIs.pptx	10	0.88	0.0880	0.27	6	0	ok		0	
opic 5--Case Studies Movie and Aviation Industries__doc	doc	words	words/done-004/doc/opic 5--Case Studies Movie and Aviation Industries.doc	5	0.88	0.1760	0.26	4	0	ok		0	
001_1-2-3_Horizontal_Hierarchy_39795b4d__pptx	pptx	slides	slides/chartset-006/pptx/001_1-2-3_Horizontal_Hierarchy_39795b4d.pptx	3	0.87	0.2900	0.48	1	1	ok		1	pptx-field-r82
093_Business_Case_Template_Customizable_Layout_510c25e7__docx	docx	words	words/chartset-006/docx/093_Business_Case_Template_Customizable_Layout_510c25e7.docx	1	0.87	0.8700	0.87	1	0	ok		0	
FY2023-AIP-grants__xlsx	xlsx	sheets	sheets/done-011/xlsx/FY2023-AIP-grants.xlsx	33	0.86	0.0261	0.04	1	0	ok		26	L6-sheets;dotnet;ods-resid-r80;ods-track-r88;sheets-clip-band;sheets-r31
Liturgical-Commission-2025-Convention-Presentation__pptx	pptx	slides	slides/done-004/pptx/Liturgical-Commission-2025-Convention-Presentation.pptx	9	0.86	0.0956	0.54	4	0	ok		3	odp-embed-r79;slides-missing-01;words-r59
018_Project_Timeline_Template_Editable_Format_e1cf1df5__docx	docx	words	words/chartset-007/docx/018_Project_Timeline_Template_Editable_Format_e1cf1df5.docx	1	0.84	0.8400	0.84	1	1	ok	top-right: ink we draw that the reference does not (1.64% of page, x 0.60-0.88, y 0.02-0.09)	0	
027_Unit_Circle_Chart_Graphical_Chart_5462a579__docx	docx	words	words/chartset-009/docx/027_Unit_Circle_Chart_Graphical_Chart_5462a579.docx	1	0.84	0.8400	0.84	1	0	ok		2	chart-inner-r110;words-r52
051_Organogram_Template_Basic_Theme_e6464d06__docx	docx	words	words/chartset-010/docx/051_Organogram_Template_Basic_Theme_e6464d06.docx	1	0.82	0.8200	0.82	1	0	ok		0	
069_Work_Breakdown_Structure_Template_Professional_Format_1e02dce1__docx	docx	words	words/chartset-013/docx/069_Work_Breakdown_Structure_Template_Professional_Format_1e02dce1.docx	1	0.81	0.8100	0.81	1	1	ok	top-centre: ink missing from ours — a graphic, glyphs or a fill (0.92% of page, x 0.40-0.59, y 0.13-0.18)	1	words-r50-chartset
EASA-IFP-145Scope(WEB)_ALL_ValidF145SOA_2022-12-16-04-31-58_0__xlsx	xlsx	sheets	sheets/ceiling-001/xlsx/EASA-IFP-145Scope(WEB)_ALL_ValidF145SOA_2022-12-16-04-31-58_0.xlsx	114	0.80	0.0070	0.03	4	0	ok		0	
043_Dual_Horizontal_Hierarchy_for_PowerPoint_and_Google_Slides_5074b09e__pptx	pptx	slides	slides/chartset-006/pptx/043_Dual_Horizontal_Hierarchy_for_PowerPoint_and_Google_Slides_5074b09e.pptx	3	0.79	0.2633	0.44	1	1	ok		0	
005_2-Step_Funnel_On_left_With_Text_767f0490__pptx	pptx	slides	slides/chartset-005/pptx/005_2-Step_Funnel_On_left_With_Text_767f0490.pptx	1	0.78	0.7800	0.78	1	1	ok	top-left: ink missing from ours — a graphic, glyphs or a fill (2.13% of page, x 0.07-0.43, y 0.09-0.17)	0	
037_Personal_money_tracker_a57957bb__xlsx	xlsx	sheets	sheets/chartset-007/xlsx/037_Personal_money_tracker_a57957bb.xlsx	5	0.78	0.1560	0.30	2	1	ok		1	sheets-r52-condvalue
040_Blood_pressure_tracker_872b6833__xlsx	xlsx	sheets	sheets/chartset-007/xlsx/040_Blood_pressure_tracker_872b6833.xlsx	1	0.78	0.7800	0.78	1	0	ok		2	chart-axis-r87
049_Five-Block_Hub_Spoke_42ee8593__pptx	pptx	slides	slides/chartset-013/pptx/049_Five-Block_Hub_Spoke_42ee8593.pptx	3	0.78	0.2600	0.43	2	0	ok		0	
068_Funnel_Diagram_for_PowerPoint_with_2_Steps_437e4ba7__pptx	pptx	slides	slides/chartset-005/pptx/068_Funnel_Diagram_for_PowerPoint_with_2_Steps_437e4ba7.pptx	1	0.78	0.7800	0.78	1	1	ok	top-left: ink missing from ours — a graphic, glyphs or a fill (2.13% of page, x 0.07-0.43, y 0.09-0.17)	0	
017_4-Stage_Vertical_Funnel_Diagram_for_PowerPoint_61e7bde5__pptx	pptx	slides	slides/chartset-006/pptx/017_4-Stage_Vertical_Funnel_Diagram_for_PowerPoint_61e7bde5.pptx	1	0.77	0.7700	0.77	1	1	ok	top-left: ink missing from ours — a graphic, glyphs or a fill (2.13% of page, x 0.07-0.43, y 0.09-0.17)	0	
056_Four-Block_Hub_Spoke_134b89d1__pptx	pptx	slides	slides/chartset-013/pptx/056_Four-Block_Hub_Spoke_134b89d1.pptx	3	0.77	0.2567	0.42	2	0	ok		0	
tibs_guidelines_2__docx	docx	words	words/done-011/docx/tibs_guidelines_2.docx	13	0.77	0.0592	0.19	5	0	ok		1	chart-fit-r97
004_2-Stage_Vertical_Funnel_Diagram_for_PowerPoint_593f4c80__pptx	pptx	slides	slides/chartset-005/pptx/004_2-Stage_Vertical_Funnel_Diagram_for_PowerPoint_593f4c80.pptx	1	0.76	0.7600	0.76	1	1	ok	top-left: ink missing from ours — a graphic, glyphs or a fill (2.13% of page, x 0.07-0.43, y 0.09-0.17)	0	
011_3-Stage_Vertical_Funnel_Diagram_for_PowerPoint_10ce23dd__pptx	pptx	slides	slides/chartset-005/pptx/011_3-Stage_Vertical_Funnel_Diagram_for_PowerPoint_10ce23dd.pptx	1	0.76	0.7600	0.76	1	1	ok	top-left: ink missing from ours — a graphic, glyphs or a fill (2.13% of page, x 0.07-0.43, y 0.09-0.17)	0	
002_Free_Genogram_Diagram_Template_Customizable_Format_2219584b__docx	docx	words	words/chartset-006/docx/002_Free_Genogram_Diagram_Template_Customizable_Format_2219584b.docx	1	0.75	0.7500	0.75	1	1	ok	top-left: a fill or background shading we draw and the reference does not (0.48% of page, x 0.10-0.11, y 0.03-0.38)	1	words-group-transform
005_Contextures_chart_sample_6e279b08__xlsx	xlsx	sheets	sheets/chartset-006/xlsx/005_Contextures_chart_sample_6e279b08.xlsx	8	0.74	0.0925	0.42	1	0	ok		12	chart-inner-r110;probes;sheets-r54;sheets-r59;sheets-r60;sheets-r61
AW-104D-RVSM-Aircraft-Approval-Checklist.pdf__docx	docx	words	words/ceiling-001/docx/AW-104D-RVSM-Aircraft-Approval-Checklist.pdf.docx	2	0.74	0.3700	0.70	1	1	ok	middle-centre: marks displaced or reshaped (1.81% of page, x 0.37-0.93, y 0.38-0.42)	6	dotnet;odt-frame-r75;words-floating-table;words-r51-flies;words-r55
044_Visual_Product_Roadmap_Template_Editable_Format_c232a2c0__docx	docx	words	words/chartset-012/docx/044_Visual_Product_Roadmap_Template_Editable_Format_c232a2c0.docx	1	0.72	0.7200	0.72	1	0	ok		0	
INDEX_Digital_Transformation_Toolkits__xls	xls	sheets	sheets/done-009/xls/INDEX_Digital_Transformation_Toolkits.xls	24	0.72	0.0300	0.27	23	0	ok		10	dotnet;sheets-r23;sheets-r24;sheets-r25
approvals-and-standardisation-organisation-approvals-docs-part-145-annex-B-B11.-TE.CAO.00129-Foreign-Part-145-approvals---Experience--logbook__docx	docx	words	words/table-001/docx/approvals-and-standardisation-organisation-approvals-docs-part-145-annex-B-B11.-TE.CAO.00129-Foreign-Part-145-approvals---Experience--logbook.docx	6	0.72	0.1200	0.38	6	0	ok		0	
055_Organogram_Template_Horizontal_Structure_28a7e725__docx	docx	words	words/chartset-012/docx/055_Organogram_Template_Horizontal_Structure_28a7e725.docx	1	0.71	0.7100	0.71	1	1	ok	top-centre: ink we draw that the reference does not (0.95% of page, x 0.37-0.57, y 0.14-0.20)	0	
075_Storyboard_Template_Fillable_Format_7fa01641__docx	docx	words	words/chartset-013/docx/075_Storyboard_Template_Fillable_Format_7fa01641.docx	1	0.71	0.7100	0.71	1	0	ok		0	
028_Budget_summary_report_4aeefd13__xlsx	xlsx	sheets	sheets/chartset-011/xlsx/028_Budget_summary_report_4aeefd13.xlsx	4	0.70	0.1750	0.28	3	1	ok		0	
081_Project_performance_report_Use_this_template_be2468b3__xlsx	xlsx	sheets	sheets/chartset-009/xlsx/081_Project_performance_report_Use_this_template_be2468b3.xlsx	2	0.70	0.3500	0.59	1	0	ok		0	
2020-01-29-Lease-Transition-Records-Checklist-FINAL-1__xlsx	xlsx	sheets	sheets/ceiling-001/xlsx/2020-01-29-Lease-Transition-Records-Checklist-FINAL-1.xlsx	5	0.70	0.1400	0.17	1	0	ok		2	sheets-clip-01;sheets-clip-justify
vv_summit_SAIC-PRESENTATION_FAA-V&V-Summit_508c__pptx	pptx	slides	slides/done-012/pptx/vv_summit_SAIC-PRESENTATION_FAA-V&V-Summit_508c.pptx	19	0.70	0.0368	0.19	12	0	ok		3	slides-b-01;slides-r51
vvsummit2022-SAIC-PRESENTATION__pptx	pptx	slides	slides/done-012/pptx/vvsummit2022-SAIC-PRESENTATION.pptx	19	0.70	0.0368	0.19	12	0	ok		2	slides-b-01;slides-r51
085_Infographic_Org_Chart_for_PowerPoint_5_Blocks_3870252f__pptx	pptx	slides	slides/chartset-014/pptx/085_Infographic_Org_Chart_for_PowerPoint_5_Blocks_3870252f.pptx	3	0.69	0.2300	0.40	1	2	ok	top-centre: marks displaced or reshaped (7.58% of page, x 0.07-0.69, y 0.02-0.17)	0	
085_Simple_Gantt_chart_d65b8377__xlsx	xlsx	sheets	sheets/chartset-009/xlsx/085_Simple_Gantt_chart_d65b8377.xlsx	3	0.69	0.2300	0.68	1	0	ok		0	
Form-SM-76A-_-CAR-OPS-2A-Instruments-and-Equipment-Compliance-Statement-_-11__docx	docx	words	words/done-013/docx/Form-SM-76A-_-CAR-OPS-2A-Instruments-and-Equipment-Compliance-Statement-_-11.docx	3	0.69	0.2300	0.57	1	0	ok		0	
redac-sas-201503-fy17-research-portfolio__xlsx	xlsx	sheets	sheets/done-003/xlsx/redac-sas-201503-fy17-research-portfolio.xlsx	2	0.69	0.3450	0.41	2	0	ok		0	
f445896eb008d14c1746fc37d412dc22__docx	docx	words	words/done-005/docx/f445896eb008d14c1746fc37d412dc22.docx	15	0.68	0.0453	0.18	6	0	ok		12	dotnet;trailing-nbsp-wrap;words-character-scale;words-rebase-02
hofman__ppt	ppt	slides	slides/done-013/ppt/hofman.ppt	13	0.68	0.0523	0.34	11	1	ok		9	dotnet;ppt-spacing-r115;slides-arch-01;slides-r52;slides-r55;slides-r56
002_10-Point_Dual_Hub_Comparison_4ee242c9__pptx	pptx	slides	slides/chartset-010/pptx/002_10-Point_Dual_Hub_Comparison_4ee242c9.pptx	3	0.67	0.2233	0.58	1	1	ok	top-centre: marks displaced or reshaped (5.71% of page, x 0.07-0.94, y 0.03-0.11)	0	
020_advanced_word_chart_report__docx	docx	words	words/chartset-001/docx/020_advanced_word_chart_report.docx	1	0.67	0.6700	0.67	1	0	ok		0	
BasicMed_AME_Presentation__pptx	pptx	slides	slides/done-010/pptx/BasicMed_AME_Presentation.pptx	18	0.67	0.0372	0.23	1	0	ok		3	slides-paint-01;slides-r51
technical report template__docx	docx	words	words/done-009/docx/technical report template.docx	10	0.67	0.0670	0.63	1	1	ok	top-centre: ink we draw that the reference does not (1.21% of page, x 0.21-0.78, y 0.30-0.32)	5	dotnet;words-r54;words-r55
032_advanced_word_chart_report__docx	docx	words	words/chartset-001/docx/032_advanced_word_chart_report.docx	1	0.65	0.6500	0.65	1	0	ok		0	
5b_upasana_dasgupta_-_liability_and_registration__pptx	pptx	slides	slides/done-005/pptx/5b_upasana_dasgupta_-_liability_and_registration.pptx	15	0.65	0.0433	0.18	3	0	ok		3	dotnet;slides-missing-01;vision-r68
089_Infographic_Radial_Matrix_for_PowerPoint_and_Google_Slides_eb0550f2__pptx	pptx	slides	slides/chartset-012/pptx/089_Infographic_Radial_Matrix_for_PowerPoint_and_Google_Slides_eb0550f2.pptx	3	0.64	0.2133	0.40	2	1	ok	top-centre: ink we draw that the reference does not (0.83% of page, x 0.35-0.49, y 0.09-0.17)	0	
